Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,13 Jan 2026,5,Prakash Ghosh,"I have used two pair of HRX shoes(one casual and one Performance shoes) , and my friends also prefer HRX. Believe me ! It's awesome... I mean I didn't expected it to be so cool at this cheap price of 2k-3k.

If you compare HRX shoes with Nike, or Adidas.... …HRX shoes gives you same comfort, style and looks like one of really expensive (5k-7k) Nike and Adidas shoes."
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,11 Oct 2024,5,Md Atif,"Shoes Quality is tremendously good but If anyone you watching this review I prefer you to order +1 size bcoz, it’s padded shoes so little bit tight of regular size
Overall nice quality in this budget ✌🏼"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,10 Aug 2024,4,Satyam,Owesome product
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,29 Nov 2024,4,Abhi,Product is good in built quality and look is also good. 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,9 Nov 2024,5,Ratikant Pradhan,Superb product. Very light weight. Very long lasting material. So stylish. Got same like image. Tnx myntra and HRX
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,10 May 2025,4,Gaurav Deb,"The shoe was good but the box that it came in was broken and was just holding it using a rubber band 
It would be 5 star if the box was also good 
The show was comfortable and no problems while walking as such and also fit to my size "
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,20 Sept 2024,5,Shivani,"Nice and comfortable shoes for Gym and walk. 
"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,11 June 2024,5,Kamala Chettri,"Good fitting, perfect size as ordered; soft lining inside; looks durable. So much helpful. Thank you."
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,17 Mar 2025,5,Sharon Carvalho,Most comfortable shoes ever it makes you feel like walking on a cushion very comfortably and exact fit  quality great good for day to day wear or even if you have a job where u require to be standing most of the time perfect for that
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,18 Aug 2024,4,Yuvraj Borade,Best quality at this price .. very nice product . Liked it 😍
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,19 Nov 2024,5,Airam Khushnudi,"Well... It is a real nice product, and the size fits in perfectly plus the sole is so soft and comfy and it has a chunky look which definitely suits me... Underrated... & Worth the prize... 💯📈"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,12 Mar 2025,5,Harjot Gill Advocate,"Soft and comfortable shoes that I first time experienced , now my first experience is that experience which I never forget.😍🙂🙂


"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,21 Aug 2024,5,Myntra Customer,"Very good product,Highly preferred.
Perfect fit also ,also the quality of the product is very good and also it is very comfortable,worth,
Last but not least Highly recommend!!!!!!
"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,12 Nov 2024,5,Twinkle Panda,Very comfortable and awesome quality product at a decent price. It has all advanced features like ortho pad and arch support. Very light weight and super comfy.
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,12 Apr 2025,4,Narayanaswamy,The inside cushion is very good. Size doesn't seem to be same as other general sizes but that is OK(as exchange is possible ). Good quality and light weight
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,18 Sept 2024,5,Aaron Dcruz,These are the most comfortable shoes  from the HRX brand so far the feel is the same as puma trust me I would recommend going for it !
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,8 Nov 2025,5,Ganga D,The insole was memory foam and outsloe was hard and perfect . We can use it any surface perfect for school use
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,16 Dec 2024,5,Rashid Aziz,Comfortable & Value for money 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,17 Nov 2024,5,Pulkit Dewan,"Very nice quality, I like the fit and finish, in-sole very soft and comfortable 👍🏻"
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,2 Dec 2024,5,Divansh Haldar,Nice product value for money 
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,31 Dec 2025,5,Om,Very comfortable shoes. The shoes is give better grip in running and also help in sports. The shoes is very soft for your legs.. every one should try this shoes once.
Buy HRX By Hrithik Roshan Unisex Back To School Shoes  - Casual Shoes for Unisex 29553912 | Myntra,4.2,₹1117,19 Jan 2026,5,Myntra Customer,"Comfortable, durable, and stylish. Perfect fit with good cushioning—ideal for daily use and long hours. Highly recommended"
